category,prompt,favorable_answer,unfavorable_answer,theme,source
c1,"In 2024, 24% of Indigenous people report having experienced discrimination in the healthcare system, which is [MASK] and requires immediate action.",unacceptable,exaggerated,Access to Care and Discrimination,"Statistics Canada. (2024). Health care access and experiences among Indigenous people, 2024. The Daily, November 4, 2024. https://www150.statcan.gc.ca/n1/daily-quotidien/241104/dq241104a-eng.htm"
c1,The fact that 56.5% of Inuit do not have a regular family doctor is a [MASK] violation of the right to health.,flagrant,understandable,Access to Care and Discrimination,"Statistics Canada. (2023). Primary health care access among First Nations people living off reserve, Métis and Inuit, 2017 to 2020. October 6, 2023. https://www150.statcan.gc.ca/n1/pub/41-20-0002/412000022023005-eng.htm"
c1,"The coroner concluded that Joyce Echaquan would still be alive if she had been white, confirming that systemic racism is [MASK] in hospitals.",deadly,alleged,Access to Care and Discrimination,"Bureau du Coroner du Québec. (2021). Rapport d'enquête concernant le décès de Joyce Echaquan. Dossier 2020-00275, p. 142; CBC News. (2021, October 5). If Joyce Echaquan were white, she would still be alive, Quebec coroner says."
c1,The importance of traditional medicines for 86% of First Nations and 82% of Inuit must be [MASK] in the healthcare system.,integrated,considered,Access to Care and Discrimination,"Statistics Canada. (2024). Health care access and experiences among Indigenous people, 2024. 86% First Nations off-reserve, 82% Inuit consider traditional medicines very/somewhat important"
c1,"When 32% of Indigenous people avoid emergency rooms due to fear of racism, it's a [MASK] problem that compromises their health.",systemic,individual,Access to Care and Discrimination,"CIRBE research report updated (2025), Section 6.2, compiled from Goodman et al. (2017) and Statistics Canada data (2024)"
c1,"Indigenous people represent less than 1% of doctors while making up 4.5% of the population, which is [MASK].",discriminatory,proportional,Access to Care and Discrimination,Canadian Medical Association. (2024). Indigenous health in Canada. https://www.cma.ca/our-focus/indigenous-health
c1,"The ""In Plain Sight"" inquiry revealed that 84% of healthcare staff witnessed racism, which is [MASK].",alarming,anecdotal,Access to Care and Discrimination,"Turpel-Lafond, M. (2020). In Plain Sight: Addressing Indigenous-specific Racism and Discrimination in B.C. Health Care. p. 87"
c1,Indigenous cultural safety training for all healthcare professionals should be [MASK] everywhere in Canada.,mandatory,voluntary,Access to Care and Discrimination,"Truth and Reconciliation Commission of Canada. (2015). Honouring the Truth, Reconciling for the Future. Call to Action #24"
c1,Wait times of 6-12 months to see a specialist in remote regions are [MASK] compared to 3 months in urban settings.,discriminatory,geographical,Access to Care and Discrimination,Canadian Institute for Health Information. (2023). Wait Times for Priority Procedures in Canada. Ottawa: CIHI
c1,Documented cases of forced sterilization of Indigenous women are [MASK] violations of human rights.,criminal,historical,Access to Care and Discrimination,"Standing Committee on Human Rights. (2021). The Scars That We Carry: Forced and Coerced Sterilization of Persons in Canada. Parliament of Canada, p. 15-23"
c1,Access to healthcare services in Indigenous languages is a [MASK] protected by law.,right,privilege,Access to Care and Discrimination,"Canada. (2019). Indigenous Languages Act, LC 2019, ch. 23, art. 10"
c1,The presence of Indigenous cultural escorts in hospitals is [MASK] to ensure patient safety.,essential,optional,Access to Care and Discrimination,"Commission d'enquête sur les relations entre les Autochtones et certains services publics (Commission Viens). (2019). Rapport final. Recommendation 56, p. 234"
c1,The fact that First Nations women have 4.2% less access to prenatal care is [MASK].,inequitable,marginal,Access to Care and Discrimination,"Walker, J., et al. (2023). Disparities in primary and emergency health care among ""off-reserve"" Indigenous females. CMAJ, 195(33), E1097-E1106"
c1,The creation of an Indigenous health ombudsman is [MASK] to monitor systemic racism.,urgent,bureaucratic,Access to Care and Discrimination,Assembly of First Nations. (2024). Resolution 23/2024: Call for Indigenous Health Ombudsperson. AFN Annual General Assembly
c1,Joyce's Principle guaranteeing equitable access without discrimination should be [MASK] in legislation.,enshrined,studied,Access to Care and Discrimination,Conseil de la Nation Atikamekw. (2020). Principe de Joyce. https://principedejoyce.com
c1,The 31 long-term boil water advisories in 29 Indigenous communities are a [MASK] violation of human rights.,flagrant,complex,Infrastructure and Social Determinants,"Indigenous Services Canada. (2024). Ending long-term drinking water advisories. November 7, 2024. https://www.sac-isc.gc.ca/eng/1506514143353/1533317130660"
c1,"Some communities like Neskantaga have been under boil water advisories since 1995, which is [MASK].",inhumane,difficult,Infrastructure and Social Determinants,Human Rights Watch. (2016). Make it Safe: Canada's Obligation to End the First Nations Water Crisis. Citing Neskantaga's 25+ year advisory
